v0 (m/s),h (m),theta (degrees)
10.5297,14.1027,63.9073
10.0533,32.6073,69.1357
19.1562,14.2528,80.4338
5.2438,61.0565,52.1114
7.8428,61.0924,60.2304
16.4363,66.4709,86.8893
17.984,36.493,44.1752
17.9199,26.3842,66.8942
18.424,41.4943,66.5234
7.5221,75.5568,8.8644
13.1079,83.5177,52.5348
7.8669,73.0975,76.8531
17.5651,54.9903,54.7703
13.8242,94.6731,75.3731
9.1948,90.2063,23.973
1.9972,48.785,60.9914
1.4708,7.8607,50.008
9.2409,43.0215,21.6195
7.4749,50.2613,30.9858
12.8603,17.2933,87.2929
6.8635,66.4213,86.7144
14.3683,29.2482,62.9684
7.0722,92.6921,54.5941
17.0172,74.2324,66.8566
13.3494,35.3895,73.3557
8.3035,69.802,14.6398
5.8096,57.0528,42.1506
16.6777,36.183,80.636
9.619,12.4264,7.9806
7.0258,52.4595,22.2515
17.799,75.7476,82.8996
7.3949,44.0998,54.7552
2.0046,18.8371,70.5905
8.2543,72.4506,4.8484
16.9831,34.8042,57.6852
18.617,53.4425,26.7773
6.015,93.8447,22.417
19.1172,41.1574,22.2253
17.8594,94.0035,53.6975
19.3213,40.2679,60.2931
11.7638,58.4573,67.0371
1.5032,78.7798,8.6659
19.8405,6.2309,64.6854
3.3803,14.9566,70.5589
18.9807,47.431,9.6872
7.3805,38.3312,56.3922
11.9659,68.1206,23.6856
7.2585,57.413,31.9048
6.9243,27.1192,74.3406
5.7197,25.6014,21.1204
1.2677,81.8849,81.2582
18.3442,32.8957,48.9558
2.9387,76.1327,39.9063
4.0051,51.978,78.7603
4.8091,97.3422,61.7516
9.6489,54.6096,85.8575
10.0762,34.9222,43.1026
2.787,66.6571,3.0667
13.8141,72.711,3.2411
18.5731,92.4138,46.6569
13.7069,40.6719,77.1451
14.3136,96.8837,21.157
14.9208,80.1998,80.9259
18.9708,23.224,46.1275
12.9773,23.9596,39.9016
16.6284,18.6291,43.1015
16.3846,4.0032,76.6219
5.8597,16.2759,76.9274
1.7567,3.5533,9.1366
6.0788,11.6995,7.2465
17.381,57.4307,17.7174
6.3616,78.5241,26.8026
7.8886,48.3503,17.3762
6.9909,30.8364,13.1685
4.3802,5.434,31.9319
8.2345,88.761,11.3897
9.814,17.4629,4.1317
5.2693,93.4547,60.8263
19.2702,10.4562,48.1227
13.2827,76.3363,21.1746
19.6861,31.5032,35.944
1.3158,60.1412,88.4431
4.9278,81.8125,8.6079
8.826,95.114,52.8602
4.367,29.8225,84.4926
17.3023,40.1224,16.1346
15.7092,76.745,1.8854
15.7157,88.3041,37.0078
11.9694,27.6802,81.9473
9.7377,85.8361,44.7005
12.777,60.1576,71.2055
12.4995,73.9269,56.0519
14.2894,79.8259,83.5979
2.4223,17.8826,68.0492
9.1665,30.7093,83.1959
7.2459,20.085,39.8334
9.896,7.1712,47.3926
14.4424,81.3942,63.9195
11.1348,51.0427,6.047
2.2167,7.4979,41.4357
14.6558,46.881,79.2663
13.2321,18.5132,36.1241
19.7569,45.14,82.901
16.2939,81.8435,75.8296
5.0001,26.9954,19.2471
19.2328,28.8075,24.9415
9.391,77.6061,75.039
8.9356,32.8618,14.0227
16.1644,20.6692,53.2605
10.4519,59.9644,83.551
12.6161,9.8359,32.3245
9.9482,49.3646,21.6242
13.678,47.4246,56.348
19.6994,38.1937,45.9531
4.2369,86.7781,59.514
18.219,0.5327,70.1331
15.7494,85.7926,80.1195
6.3942,22.0652,26.9373
18.6788,78.808,39.1781
8.8843,70.601,71.0545
19.9385,80.3619,73.4352
17.5019,73.4012,7.2317
3.694,37.8646,60.5163
3.2905,53.5008,15.3178
11.372,5.3545,6.3596
1.7177,64.5211,66.0507
2.4285,38.08,86.4468
6.247,70.5188,10.6323
8.5576,26.4694,54.0161
4.7837,12.2371,75.2234
8.0555,66.1852,76.7117
2.3407,31.9781,87.5868
18.2658,51.7371,62.7982
1.9519,25.1584,2.4878
5.0095,15.5802,13.4234
13.016,54.7487,50.2018
12.0423,50.2644,56.2705
14.8647,99.9245,27.6201
17.5423,8.0582,47.2209
18.9314,89.4111,34.3719
17.1892,46.1662,35.2303
7.8809,17.0895,52.1257
15.4375,30.1358,18.075
15.3045,17.6086,1.8657
10.6522,14.3733,1.6427
14.6135,71.8346,73.544
18.0001,79.8338,19.132
18.7373,88.4956,1.1544
4.4856,23.5777,86.1949
8.3126,95.6829,30.3746
3.0566,99.3225,10.6315
2.0514,40.1051,14.5011
16.529,99.8789,52.3112
2.3295,33.0262,85.2584
2.5554,52.8084,65.3564
6.2274,44.127,84.2995
3.135,37.9118,23.7478
2.9068,63.5238,40.4939
19.2381,50.1116,76.4354
3.5382,94.596,27.1347
10.9095,84.2422,58.1881
17.5958,6.7446,80.3501
5.5628,53.995,53.5819
12.924,2.4543,10.4387
11.7368,68.8671,53.2538
17.6126,12.4327,80.4124
3.5084,69.5448,70.6178
6.6472,61.7387,50.2395
8.3957,37.4689,46.2555
11.8834,25.8753,84.4914
15.6895,39.8205,49.8283
12.2321,7.8393,60.4753
18.4483,34.4797,15.3569
12.0871,12.9453,86.0105
3.2348,32.0591,36.8174
13.8643,64.2643,35.4177
9.2284,33.7929,48.3558
1.0034,76.8661,36.0035
19.0534,79.8725,18.3105
12.1847,52.7755,71.3643
18.8607,19.0742,27.7673
2.6089,21.016,65.8542
6.5055,48.7542,11.8297
6.2403,93.9022,31.0465
9.6844,38.3082,2.9395
4.5415,67.0839,1.4677
8.1608,41.0474,55.964
3.1121,35.0589,79.8029
14.8586,85.7639,9.9577
17.1765,90.3694,42.3758
18.5305,43.5558,42.5408
2.9136,25.9712,53.2731
3.4356,64.763,65.561
5.2276,44.6264,1.4975
4.7886,0.2818,20.3786
19.5116,55.0229,55.8958
12.7954,73.8389,68.8693
8.5597,69.3728,51.1378
1.2727,33.1315,39.0347
12.8193,36.5776,70.8705
